日付,商品名,カテゴリ,単価,数量,売上金額,顧客ID,地域
2024-01-01,ノートPC,IT機器,120000,2,240000,C001,東京
2024-01-01,マウス,IT機器,3000,5,15000,C002,大阪
2024-01-02,キーボード,IT機器,8000,3,24000,C003,名古屋
2024-01-02,モニター,IT機器,35000,1,35000,C004,福岡
2024-01-03,スマートフォン,IT機器,80000,1,80000,C005,東京
2024-01-03,タブレット,IT機器,45000,2,90000,C006,大阪
2024-01-04,イヤホン,IT機器,15000,4,60000,C007,名古屋
2024-01-04,Webカメラ,IT機器,5000,8,40000,C008,福岡
2024-01-05,プリンター,IT機器,25000,1,25000,C009,東京
2024-01-05,外付けHDD,IT機器,12000,3,36000,C010,大阪
2024-01-06,USBメモリ,IT機器,2000,10,20000,C011,名古屋
2024-01-06,ルーター,IT機器,8000,2,16000,C012,福岡
2024-01-07,スピーカー,IT機器,6000,3,18000,C013,東京
2024-01-07,充電器,IT機器,3000,6,18000,C014,大阪
2024-01-08,ケーブル,IT機器,1500,12,18000,C015,名古屋
2024-01-08,マウスパッド,IT機器,800,15,12000,C016,福岡
2024-01-09,ソフトウェア,IT機器,15000,2,30000,C017,東京
2024-01-09,バッテリー,IT機器,4000,5,20000,C018,大阪
2024-01-10,メモリ,IT機器,8000,4,32000,C019,名古屋
2024-01-10,SSD,IT機器,15000,2,30000,C020,福岡
2024-01-11,グラフィックカード,IT機器,50000,1,50000,C021,東京
2024-01-11,CPUクーラー,IT機器,3000,3,9000,C022,大阪
2024-01-12,マザーボード,IT機器,20000,1,20000,C023,名古屋
2024-01-12,電源ユニット,IT機器,12000,2,24000,C024,福岡
2024-01-13,PCケース,IT機器,8000,1,8000,C025,東京
2024-01-13,液晶ペンタブ,IT機器,30000,1,30000,C026,大阪
2024-01-14,Webカム,IT機器,4000,6,24000,C027,名古屋
2024-01-14,ヘッドセット,IT機器,7000,4,28000,C028,福岡
2024-01-15,ゲーミングチェア,IT機器,40000,1,40000,C029,東京
2024-01-15,デスクライト,IT機器,5000,3,15000,C030,大阪
