階層,KPI,目標値,担当,頻度/期限,進捗,ステータス
第1階層,新規顧客獲得数を前年比30%増加,前年比+30%,営業部,年間,,
第2階層,リード数を月間100件以上獲得,100件/月,営業チーム,月次,,
第3階層,週1回の市場調査を実施し新規見込み客リストを作成,週1回,営業マネージャー,週次,☐,
第3階層,月2回のウェビナーを開催し参加者50名以上を目標,2回/月・50名以上,マーケティング連携,月次,☐,
第3階層,SNS広告経由のリード獲得数を週15件以上,15件/週,営業チーム,週次,☐,
第2階層,商談化率を25%以上に向上,25%,営業チーム,月次,,
第3階層,初回商談の事前準備を100%実施,100%,営業担当者,商談ごと,☐,
第3階層,週次で商談結果を分析し改善点を抽出,週1回,営業マネージャー,週次,☐,
第3階層,顧客ニーズヒアリングシートを全商談で使用,100%,営業チーム,商談ごと,☐,
第2階層,成約率を20%以上に維持,20%,営業チーム,月次,,
第3階層,提案書のテンプレートを統一し品質を均一化,テンプレート作成,営業マネージャー,四半期初,☐,
第3階層,四半期ごとに顧客満足度アンケートを実施,1回/四半期,カスタマーサクセス連携,四半期ごと,☐,
第3階層,失注理由を月次で分析し改善策を共有,1回/月,営業チーム,月次,☐,
